tag,tournament,subset,model,n,log_loss,brier,accuracy,rps,window,elo_mode,reproducible,commit,generated_utc
euro_2024,UEFA Euro 2024,W/L Only,XGBoost,34,0.6002,0.4055,0.7353,0.2028,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,W/L Only,Random Forest,34,0.6343,0.4189,0.7059,0.2095,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,W/L Only,Elo,34,0.5891,0.3829,0.7647,0.1915,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,W/L Only,Uniform,34,0.6931,0.5,0.5588,0.25,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,All Matches,GlobalGHMM,32,0.9483,0.5346,0.5938,0.1544,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,All Matches,GlobalGHMM+Draw,32,0.9457,0.534,0.5938,0.1543,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,All Matches,XGBoost,32,0.8458,0.4954,0.5938,0.15,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,All Matches,Random Forest,32,0.8981,0.5313,0.5938,0.1583,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,All Matches,Elo,32,0.8515,0.4999,0.5938,0.1513,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,All Matches,Uniform,32,1.0986,0.6667,0.2812,0.2309,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,W/L Only,GlobalGHMM,23,0.3757,0.2307,0.8261,0.1153,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,W/L Only,GlobalGHMM+Draw,23,0.3757,0.2307,0.8261,0.1153,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,W/L Only,XGBoost,23,0.3762,0.2249,0.8261,0.1125,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,W/L Only,Random Forest,23,0.381,0.2393,0.8261,0.1196,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,W/L Only,Elo,23,0.3764,0.229,0.8261,0.1145,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,W/L Only,Uniform,23,0.6931,0.5,0.3913,0.25,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
